Aba;Fejér
Abádszalók;Jász-Nagykun-Szolnok
Abaújszántó;Borsod-Abaúj-Zemplén
Abony;Pest
Ács;Komárom-Esztergom
Adony;Fejér
Ajak;Szabolcs-Szatmár-Bereg
Ajka;Veszprém
Albertirsa;Pest
Alsózsolca;Borsod-Abaúj-Zemplén
Aszód;Pest
Bábolna;Komárom-Esztergom
Bácsalmás;Bács-Kiskun
Badacsonytomaj;Veszprém
Baja;Bács-Kiskun
Baktalórántháza;Szabolcs-Szatmár-Bereg
Balassagyarmat;Nógrád
Balatonalmádi;Veszprém
Balatonboglár;Somogy
Balatonföldvár;Somogy
Balatonfüred;Veszprém
Balatonfűzfő;Veszprém
Balatonkenese;Veszprém
Balatonlelle;Somogy
Balkány;Szabolcs-Szatmár-Bereg
Balmazújváros;Hajdú-Bihar
Barcs;Somogy
Bátaszék;Tolna
Bátonyterenye;Nógrád
Battonya;Békés
Békés;Békés
Békéscsaba;Békés
Bélapátfalva;Heves
Beled;Győr-Moson-Sopron
Berettyóújfalu;Hajdú-Bihar
Berhida;Veszprém
Besenyszög;Jász-Nagykun-Szolnok
Biatorbágy;Pest
Bicske;Fejér
Biharkeresztes;Hajdú-Bihar
Bodajk;Fejér
Bóly;Baranya
Bonyhád;Tolna
Borsodnádasd;Borsod-Abaúj-Zemplén
Budakalász;Pest
Budakeszi;Pest
Budaörs;Pest
Budapest;Budapest
Bük;Vas
Cegléd;Pest
Celldömölk;Vas
Cigánd;Borsod-Abaúj-Zemplén
Csákvár;Fejér
Csanádpalota;Csongrád-Csanád
Csenger;Szabolcs-Szatmár-Bereg
Csepreg;Vas
Csongrád;Csongrád-Csanád
Csorna;Győr-Moson-Sopron
Csorvás;Békés
Csurgó;Somogy
Dabas;Pest
Debrecen;Hajdú-Bihar
Demecser;Szabolcs-Szatmár-Bereg
Derecske;Hajdú-Bihar
Dévaványa;Békés
Devecser;Veszprém
Diósd;Pest
Dombóvár;Tolna
Dombrád;Szabolcs-Szatmár-Bereg
Dorog;Komárom-Esztergom
Dunaföldvár;Tolna
Dunaharaszti;Pest
Dunakeszi;Pest
Dunaújváros;Fejér
Dunavarsány;Pest
Dunavecse;Bács-Kiskun
Edelény;Borsod-Abaúj-Zemplén
Eger;Heves
Elek;Békés
Emőd;Borsod-Abaúj-Zemplén
Encs;Borsod-Abaúj-Zemplén
Enying;Fejér
Ercsi;Fejér
Érd;Pest
Esztergom;Komárom-Esztergom
Fegyvernek;Jász-Nagykun-Szolnok
Fehérgyarmat;Szabolcs-Szatmár-Bereg
Felsőzsolca;Borsod-Abaúj-Zemplén
Fertőd;Győr-Moson-Sopron
Fertőszentmiklós;Győr-Moson-Sopron
Fonyód;Somogy
Fót;Pest
Füzesabony;Heves
Füzesgyarmat;Békés
Gárdony;Fejér
Göd;Pest
Gödöllő;Pest
Gönc;Borsod-Abaúj-Zemplén
Gyál;Pest
Gyomaendrőd;Békés
Gyömrő;Pest
Gyöngyös;Heves
Gyöngyöspata;Heves
Gyönk;Tolna
Győr;Győr-Moson-Sopron
Gyula;Békés
Hajdúböszörmény;Hajdú-Bihar
Hajdúdorog;Hajdú-Bihar
Hajdúhadház;Hajdú-Bihar
Hajdúnánás;Hajdú-Bihar
Hajdúsámson;Hajdú-Bihar
Hajdúszoboszló;Hajdú-Bihar
Hajós;Bács-Kiskun
Halásztelek;Pest
Harkány;Baranya
Hatvan;Heves
Herend;Veszprém
Heves;Heves
Hévíz;Zala
Hódmezővásárhely;Csongrád-Csanád
Ibrány;Szabolcs-Szatmár-Bereg
Igal;Somogy
Isaszeg;Pest
Izsák;Bács-Kiskun
Jánoshalma;Bács-Kiskun
Jánosháza;Vas
Jánossomorja;Győr-Moson-Sopron
Jászapáti;Jász-Nagykun-Szolnok
Jászárokszállás;Jász-Nagykun-Szolnok
Jászberény;Jász-Nagykun-Szolnok
Jászfényszaru;Jász-Nagykun-Szolnok
Jászkisér;Jász-Nagykun-Szolnok
Kaba;Hajdú-Bihar
Kadarkút;Somogy
Kalocsa;Bács-Kiskun
Kaposvár;Somogy
Kapuvár;Győr-Moson-Sopron
Karcag;Jász-Nagykun-Szolnok
Kazincbarcika;Borsod-Abaúj-Zemplén
Kecel;Bács-Kiskun
Kecskemét;Bács-Kiskun
Kemecse;Szabolcs-Szatmár-Bereg
Kenderes;Jász-Nagykun-Szolnok
Kerekegyháza;Bács-Kiskun
Kerepes;Pest
Keszthely;Zala
Kisbér;Komárom-Esztergom
Kisköre;Heves
Kiskőrös;Bács-Kiskun
Kiskunfélegyháza;Bács-Kiskun
Kiskunhalas;Bács-Kiskun
Kiskunlacháza;Pest
Kiskunmajsa;Bács-Kiskun
Kistarcsa;Pest
Kistelek;Csongrád-Csanád
Kisújszállás;Jász-Nagykun-Szolnok
Kisvárda;Szabolcs-Szatmár-Bereg
Komádi;Hajdú-Bihar
Komárom;Komárom-Esztergom
Komló;Baranya
Kondoros;Békés
Kozármisleny;Baranya
Körmend;Vas
Körösladány;Békés
Kőszeg;Vas
Kunhegyes;Jász-Nagykun-Szolnok
Kunszentmárton;Jász-Nagykun-Szolnok
Kunszentmiklós;Bács-Kiskun
Lábatlan;Komárom-Esztergom
Lajosmizse;Bács-Kiskun
Lébény;Győr-Moson-Sopron
Lengyeltóti;Somogy
Lenti;Zala
Létavértes;Hajdú-Bihar
Letenye;Zala
Lőrinci;Heves
Maglód;Pest
Mágocs;Baranya
Makó;Csongrád-Csanád
Mándok;Szabolcs-Szatmár-Bereg
Marcali;Somogy
Máriapócs;Szabolcs-Szatmár-Bereg
Martfű;Jász-Nagykun-Szolnok
Martonvásár;Fejér
Mátészalka;Szabolcs-Szatmár-Bereg
Medgyesegyháza;Békés
Mélykút;Bács-Kiskun
Mezőberény;Békés
Mezőcsát;Borsod-Abaúj-Zemplén
Mezőhegyes;Békés
Mezőkeresztes;Borsod-Abaúj-Zemplén
Mezőkovácsháza;Békés
Mezőkövesd;Borsod-Abaúj-Zemplén
Mezőtúr;Jász-Nagykun-Szolnok
Mindszent;Csongrád-Csanád
Miskolc;Borsod-Abaúj-Zemplén
Mohács;Baranya
Monor;Pest
Mór;Fejér
Mórahalom;Csongrád-Csanád
Mosonmagyaróvár;Győr-Moson-Sopron
Nádudvar;Hajdú-Bihar
Nagyatád;Somogy
Nagybajom;Somogy
Nagyecsed;Szabolcs-Szatmár-Bereg
Nagyhalász;Szabolcs-Szatmár-Bereg
Nagykálló;Szabolcs-Szatmár-Bereg
Nagykanizsa;Zala
Nagykáta;Pest
Nagykőrös;Pest
Nagymányok;Tolna
Nagymaros;Pest
Nyékládháza;Borsod-Abaúj-Zemplén
Nyergesújfalu;Komárom-Esztergom
Nyíradony;Hajdú-Bihar
Nyírbátor;Szabolcs-Szatmár-Bereg
Nyírbogát;Szabolcs-Szatmár-Bereg
Nyíregyháza;Szabolcs-Szatmár-Bereg
Nyírlugos;Szabolcs-Szatmár-Bereg
Nyírmada;Szabolcs-Szatmár-Bereg
Nyírtelek;Szabolcs-Szatmár-Bereg
Ócsa;Pest
Onga;Borsod-Abaúj-Zemplén
Orosháza;Békés
Oroszlány;Komárom-Esztergom
Ózd;Borsod-Abaúj-Zemplén
Őrbottyán;Pest
Őriszentpéter;Vas
Örkény;Pest
Pacsa;Zala
Paks;Tolna
Pálháza;Borsod-Abaúj-Zemplén
Pannonhalma;Győr-Moson-Sopron
Pápa;Veszprém
Pásztó;Nógrád
Pécel;Pest
Pécs;Baranya
Pécsvárad;Baranya
Pétervására;Heves
Pilis;Pest
Piliscsaba;Pest
Pilisvörösvár;Pest
Polgár;Hajdú-Bihar
Polgárdi;Fejér
Pomáz;Pest
Pusztaszabolcs;Fejér
Putnok;Borsod-Abaúj-Zemplén
Püspökladány;Hajdú-Bihar
Rácalmás;Fejér
Ráckeve;Pest
Rakamaz;Szabolcs-Szatmár-Bereg
Rákóczifalva;Jász-Nagykun-Szolnok
Répcelak;Vas
Rétság;Nógrád
Rudabánya;Borsod-Abaúj-Zemplén
Sajóbábony;Borsod-Abaúj-Zemplén
Sajószentpéter;Borsod-Abaúj-Zemplén
Salgótarján;Nógrád
Sándorfalva;Csongrád-Csanád
Sárbogárd;Fejér
Sarkad;Békés
